id,title,abstract
10,we study equilibrium configurations of swarming biological organisms subject to,"we study equilibrium configurations of swarming biological organisms subject to exogenous and pairwise endogenous forces . beginning with a discrete dynamical model 
 , we derive a variational description of the corresponding continuum population density . 
 equilibrium solutions are extrema of an energy functional , and satisfy a fredholm integral equation . 
 we find conditions for the extrema to be local minimizers , global minimizers , and minimizers with respect to infinitesimal lagrangian displacements of mass . 
 in one spatial dimension , for a variety of exogenous forces , endogenous forces , and domain configurations , we find exact analytical expressions for the equilibria . 
 these agree closely with numerical simulations of the underlying discrete model.the exact solutions provide a sampling of the wide variety of equilibrium configurations possible within our general swarm modeling framework . 
 the equilibria typically are compactly supported and may contain @xmath0-concentrations or jump discontinuities at the edge of the support . 
 we apply our methods to a model of locust swarms , which are observed in nature to consist of a concentrated population on the ground separated from an airborne group . 
 our model can reproduce this configuration ; quasi - two - dimensionality of the model plays a critical role .    swarm , equilibrium , aggregation , integrodifferential equation , variational model , energy , minimizer , locust"
11,i discuss new results on absolute branching ratios of charm mesons into specific,"i discuss new results on absolute branching ratios of charm mesons into specific exclusive final states , cabibbo suppressed decay rates , inclusive decays to @xmath0 mesons , limits on @xmath1 mixing , cp violation and t violation . 
 preliminary results from cleo - c now dominate the world average absolute branching fractions . for the most important normalization modes involving @xmath2 and @xmath3 , the averages are @xmath4 for the @xmath5 cleo - c measures @xmath6 . using this rate , i derive an effective branching ratio @xmath7 , that is appropriate for use in extracting other branching fractions that have often been measured relative to this mode . 
 this number is compared with other determinations ."
12,cut - sky orthogonal mode analyses of the @xmath0-dmr 53 and 90 ghz sky maps are,"cut - sky orthogonal mode analyses of the @xmath0-dmr 53 and 90 ghz sky maps are used to determine the normalization of a variety of open cosmogonical models based on the cold dark matter scenario . to constrain the allowed cosmological - parameter range for these open cosmogonies , the predictions of the dmr - normalized models 
 are compared to various observational measures of cosmography and large - scale structure , viz . : the age of the universe ; small - scale dynamical estimates of the clustered - mass density parameter @xmath1 ; constraints on the hubble parameter @xmath2 , the x - ray cluster baryonic - mass fraction @xmath3 , and the matter power spectrum shape parameter ; estimates of the mass perturbation amplitude ; and constraints on the large - scale peculiar velocity field . 
 the open - bubble inflation model ( ratra &  peebles 1994 ; bucher , goldhaber , &  turok 1995 ; yamamoto , sasaki , &  tanaka 1995 ) is consistent with current determinations of the 95% confidence level ( c.l . ) 
 range of these observational constraints . 
 more specifically , for a range of @xmath2 , the model is reasonably consistent with recent high - redshift estimates of the deuterium abundance which suggest @xmath4 , provided @xmath5 ; recent high - redshift estimates of the deuterium abundance which suggest @xmath6 favour @xmath7 , while the old nucleosynthesis value @xmath8 requires @xmath9 . 
 small shifts in the inferred @xmath0-dmr normalization amplitudes due to : ( 1 ) the small differences between the galactic- and ecliptic - coordinate sky maps , ( 2 ) the inclusion or exclusion of the quadrupole moment in the analysis , ( 3 ) the faint high - latitude galactic emission treatment , and , ( 4 ) the dependence of the theoretical cosmic microwave background anisotropy angular spectral shape on the value of @xmath2 and @xmath10 , are explicitly quantified . 
 the dmr data alone do not possess sufficient discriminative power to prefer any values for @xmath1 , @xmath2 , or @xmath10 at the 95% c.l . 
 for the models considered . at a lower c.l . , and when the quadrupole moment is included in the analysis , the dmr data are most consistent with either @xmath11 or @xmath12 ( depending on the model considered ) . however , when the quadrupole moment is excluded from the analysis , the dmr data are most consistent with @xmath13 in all open models considered ( with @xmath14 ) , including the open - bubble inflation model . 
 earlier claims ( yamamoto &  bunn 1996 ; bunn &  white 1996 ) that the dmr data require a 95% c.l . 
 lower bound on @xmath1 ( @xmath15 ) are not supported by our ( complete ) analysis of the four - year data : the dmr data alone can not be used to meaningfully constrain @xmath1 .    # 
 10= 0.00em0 - 0 0.03em0 - 0 0.00em.04em0 - 0 0.03em.04em0 - 00    # 1;#2;#3;#4;#5    # 1 # 2 , # 3 , # 4 , # 5    # 1;#2;#3    # 1 # 2 , # 3    # 1;#2;#3    # 1 # 2 , # 3    # 1@xmath16        mit - ctp-2548 , kuns 1399 0.5 cm august 1996"
13,we present a two - channel model to describe the quantum state of two atoms with,"we present a two - channel model to describe the quantum state of two atoms with finite - range interaction near a feshbach resonance . 
 this model provides a simple picture to analytically derive the wave function and the binding energy of the molecular bound state . 
 the results agree excellently with the measurements and multichannel calculations . for small binding energies , 
 the system enters a threshold regime in which the feshbach molecules are identical to long range atom pairs in single channel . according to their threshold behavior 
 , we find feshbach resonances can be classified into two types ."
14,"large numbers of supernovae ( sne ) have been discovered in recent years , and m","large numbers of supernovae ( sne ) have been discovered in recent years , and many more will be found in the near future . once discovered , further study of a sn and its possible use as an astronomical tool ( e.g. , as a distance estimator ) require knowledge of the sn type . 
 current classification methods rely almost solely on the analysis of sn spectra to determine their type . 
 however , spectroscopy may not be possible or practical when sne are faint , numerous , or discovered in archival studies . 
 we present a classification method for sne based on the comparison of their observed colors with synthetic ones , calculated from a large database of multi - epoch optical spectra of nearby events . 
 we discuss the capabilities and limitations of this method . 
 for example , type ia sne at redshifts @xmath0 can be distinguished from most other sn types during the first few weeks of their evolution , based on @xmath1 vs. @xmath2 colors . 
 type ii - p sne have distinct ( very red ) colors at late ( @xmath3  d ) stages . 
 broadband photometry through standard johnson - cousins @xmath4 filters can be useful to classify sne out to @xmath5 . 
 the use of sloan digital sky survey ( sdss ) @xmath6 filters allows the extension of our classification method to even higher redshifts ( @xmath7 ) , and the use of infrared bands , to @xmath8 . 
 we demonstrate the application of this method to a recently discovered sn from the sdss . 
 finally , we outline the observational data required to further improve the sensitivity of the method , and discuss prospects for its use on future sn samples . 
 community access to the tools developed is provided by a dedicated website ."
15,the general expression of the stern - gerlach force is deduced for a relativisti,"the general expression of the stern - gerlach force is deduced for a relativistic charged spin-@xmath0 particle which travels inside a time varying magnetic field . 
 this result was obtained either by means of two lorentz boosts or starting from dirac s equation . 
 then , the utilization of this interaction for attaining the spin states separation is reconsidered in a new example using a new radio - frequency arrangement ."
16,we calculate cross sections for low energy elastic exciton - exciton scattering,"we calculate cross sections for low energy elastic exciton - exciton scattering within the effective mass approximation . 
 unlike previous theoretical approaches , we give a complete , non - perturbative treatment of the four - particle scattering problem . 
 diffusion monte carlo is used to calculate the essentially exact energies of scattering states , from which phase shifts are determined . for the case of equal - mass electrons and holes , which is equivalent to positronium - positronium scattering , 
 we find @xmath0 for scattering of singlet - excitons and @xmath1 for triplet - excitons , where @xmath2 is the excitonic radius . 
 the spin dependence of the cross sections arises from the spatial exchange symmetry of the scattering wavefunctions . a significant triplet - triplet to singlet - singlet scattering process is found , which is similar to reported effects in recent experiments and theory for excitons in quantum wells . 
 we also show that the scattering length can change sign and diverge for some values of the mass ratio @xmath3/@xmath4 , an effect not seen in previous perturbative treatments ."
17,we present a novel method for calculating the primordial non - gaussianity produ,"we present a novel method for calculating the primordial non - gaussianity produced by super - horizon evolution during inflation . 
 our method evolves the distribution of coarse - grained inflationary field values using a transport equation . 
 we present simple evolution equations for the moments of this distribution , such as the variance and skewness . 
 this method possesses some advantages over existing techniques . among them 
 , it cleanly separates multiple sources of primordial non - gaussianity , and is computationally efficient when compared with popular alternatives , such as the @xmath0 framework . 
 we adduce numerical calculations demonstrating that our new method offers good agreement with those already in the literature . 
 we focus on two fields and the @xmath1 parameter , but we expect our method will generalize to multiple scalar fields and to moments of arbitrarily high order . 
 we present our expressions in a field - space covariant form which we postulate to be valid for any number of fields . 
 * keywords * : inflation , cosmological perturbation theory , physics of the early universe , quantum field theory in curved spacetime ."
18,"for @xmath0 and @xmath1 , we consider certain admissible sequences of @xmath2 la","for @xmath0 and @xmath1 , we consider certain admissible sequences of @xmath2 lattice paths in a colored @xmath3 square . 
 we show that the number of such admissible sequences of lattice paths is given by the sum of squares of the number of standard young tableaux of partitions of @xmath4 with height @xmath5 , which is also the number of @xmath6-avoiding permutations of @xmath7 . 
 finally , we apply this result to the representation theory of the affine lie algebra @xmath8 and show that this quantity gives the multiplicity of certain maximal dominant weights in the irreducible module @xmath9 ."
19,various new physics models predict a light cp - odd higgs boson ( labeled as @xm,"various new physics models predict a light cp - odd higgs boson ( labeled as @xmath0 ) and open up new decay modes for @xmath1-boson , such as @xmath2 , @xmath3 and @xmath4 , which could be explored at the gigaz option of the ilc . in this work 
 we investigate these rare decays in several new physics models , namely the type - ii two higgs doublet model ( type - ii 2hdm ) , the lepton - specific two higgs doublet model ( l2hdm ) , the nearly minimal supersymetric standard model ( nmssm ) and the next - to - minimal supersymmetric standard model ( nmssm ) . 
 we find that in the parameter space allowed by current experiments , the branching ratios can reach @xmath5 for @xmath6 ( @xmath7 ) , @xmath8 for @xmath3 and @xmath9 for @xmath4 , which implies that the decays @xmath10 and @xmath11 may be accessible at the gigaz option . 
 moreover , since different models predict different patterns of the branching ratios , the measurement of these rare decays at the gigaz may be utilized to distinguish the models ."
20,"a positive , non - saturating and dominantly linear magnetoresistance is demonst","a positive , non - saturating and dominantly linear magnetoresistance is demonstrated to occur in the surface state of a topological insulator having a wavevector - linear energy dispersion together with a finite positive zeeman energy splitting . 
 this linear magnetoresistance shows up within quite wide magnetic - field range in a spatially homogenous system of high carrier density and low mobility in which the conduction electrons are in extended states and spread over many smeared landau levels , and is robust against increasing temperature , in agreement with recent experimental findings in bi@xmath0se@xmath1 nanoribbons ."
21,dwarf galaxies in the local group provide a unique astrophysical laboratory . de,"dwarf galaxies in the local group provide a unique astrophysical laboratory . despite their proximity some of these systems still lack a reliable distance determination as well as studies of their stellar content and star formation history . 
 we present first results of our survey of variable stars in a sample of six local group dwarf irregular galaxies . taking the leo a dwarf galaxy as an example we describe observational strategies and data reduction . 
 we discuss the lightcurves of two newly found @xmath0 cephei stars and place them into the context of a previously derived p - l relation . 
 finally we discuss the lpv content of leo  a."
